step,time,joint,joint_id,joint_pos,joint_vel,joint_pos_target,joint_vel_target,joint_effort_target,applied_torque,computed_torque,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9,action_10,action_11
0,0.0,base_to_front_left_shoulder,2,0.006756477989256382,0.41958701610565186,0.0,0.0,0.0,-0.577393114566803,-0.577393114566803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,front_left_shoulder_to_arm,6,-0.7873625755310059,0.15578705072402954,-0.7900000214576721,0.0,0.0,-0.21768569946289062,-0.21768569946289062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,front_left_arm_to_hand,10,1.4992175102233887,-3.869713083304305e-08,1.5,0.0,0.0,0.06259918957948685,0.06259918957948685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.02,base_to_front_left_shoulder,2,0.01137968897819519,0.07723162323236465,0.0,0.0,0.0,-0.970683753490448,-0.970683753490448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.02,front_left_shoulder_to_arm,6,-0.7852976322174072,7.207101582196174e-09,-0.7900000214576721,0.0,0.0,-0.43327486515045166,-0.43327486515045166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.02,front_left_arm_to_hand,10,1.4999312162399292,0.14271846413612366,1.5,0.0,0.0,0.06259918212890625,0.06259918212890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.04,base_to_front_left_shoulder,2,0.008706116117537022,-0.20258182287216187,0.0,0.0,0.0,-0.6886407732963562,-0.6886407732963562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.04,front_left_shoulder_to_arm,6,-0.7852258682250977,-0.0005748884868808091,-0.7900000214576721,0.0,0.0,-0.3830068111419678,-0.3830068111419678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.04,front_left_arm_to_hand,10,1.4999312162399292,-4.0346998275708756e-07,1.5,0.0,0.0,0.005502903368324041,0.005502903368324041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.06,base_to_front_left_shoulder,2,0.0059999157674610615,-0.06231001392006874,0.0,0.0,0.0,-0.44595447182655334,-0.44595447182655334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.06,front_left_shoulder_to_arm,6,-0.785769522190094,-0.04349181801080704,-0.7900000214576721,0.0,0.0,-0.34098026156425476,-0.34098026156425476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.06,front_left_arm_to_hand,10,1.4999312162399292,1.2218602932989597e-05,1.5,0.0,0.0,0.005509193055331707,0.005509193055331707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.08,base_to_front_left_shoulder,2,0.007023390382528305,0.08872629702091217,0.0,0.0,0.0,-0.5637667179107666,-0.5637667179107666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.08,front_left_shoulder_to_arm,6,-0.786879301071167,-0.050153739750385284,-0.7900000214576721,0.0,0.0,-0.2339811623096466,-0.2339811623096466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.08,front_left_arm_to_hand,10,1.4999312162399292,1.4045765055925585e-05,1.5,0.0,0.0,0.005502695217728615,0.005502695217728615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.1,base_to_front_left_shoulder,2,0.0082924272865057,0.03673236444592476,0.0,0.0,0.0,-0.6813901662826538,-0.6813901662826538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.1,front_left_shoulder_to_arm,6,-0.7870576977729797,-0.0005603706231340766,-0.7900000214576721,0.0,0.0,-0.23644191026687622,-0.23644191026687622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.1,front_left_arm_to_hand,10,1.4999312162399292,-3.80288440737786e-07,1.5,0.0,0.0,0.005502904765307903,0.005502904765307903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.12,base_to_front_left_shoulder,2,0.008312149904668331,-8.207889914046973e-05,0.0,0.0,0.0,-0.6645410060882568,-0.6645410060882568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.12,front_left_shoulder_to_arm,6,-0.7871248722076416,-0.0005650033126585186,-0.7900000214576721,0.0,0.0,-0.23106937110424042,-0.23106937110424042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
