step,time,joint,joint_id,joint_pos,joint_vel,joint_pos_target,joint_vel_target,joint_effort_target,applied_torque,computed_torque,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9,action_10,action_11
0,0.0,base_to_front_right_shoulder,3,-0.006756585091352463,-0.41959497332572937,0.0,0.0,0.0,0.5774016380310059,0.5774016380310059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.02,base_to_front_right_shoulder,3,-0.011379951611161232,-0.07723724097013474,0.0,0.0,0.0,0.9707068204879761,0.9707068204879761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.04,base_to_front_right_shoulder,3,-0.008706420660018921,0.2025814950466156,0.0,0.0,0.0,0.6886659860610962,0.6886659860610962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.06,base_to_front_right_shoulder,3,-0.00600014254450798,0.062315914779901505,0.0,0.0,0.0,0.445972740650177,0.445972740650177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.08,base_to_front_right_shoulder,3,-0.007023587357252836,-0.08872422575950623,0.0,0.0,0.0,0.5637822151184082,0.5637822151184082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.1,base_to_front_right_shoulder,3,-0.008292612619698048,-0.03673340007662773,0.0,0.0,0.0,0.681405246257782,0.681405246257782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.12,base_to_front_right_shoulder,3,-0.00831232126802206,8.195213740691543e-05,0.0,0.0,0.0,0.664555013179779,0.664555013179779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.14,base_to_front_right_shoulder,3,-0.008332692086696625,8.196524868253618e-05,0.0,0.0,0.0,0.6661562323570251,0.6661562323570251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.16,base_to_front_right_shoulder,3,-0.00835448782891035,8.197510032914579e-05,0.0,0.0,0.0,0.6678714156150818,0.6678714156150818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.18,base_to_front_right_shoulder,3,-0.008377703838050365,8.198585419449955e-05,0.0,0.0,0.0,0.6697003841400146,0.6697003841400146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.2,base_to_front_right_shoulder,3,-0.008402335457503796,8.200038428185508e-05,0.0,0.0,0.0,0.6716426014900208,0.6716426014900208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.22,base_to_front_right_shoulder,3,-0.00842838641256094,8.200930460589007e-05,0.0,0.0,0.0,0.6736982464790344,0.6736982464790344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
