step,time,joint,joint_id,joint_pos,joint_vel,joint_pos_target,joint_vel_target,joint_effort_target,applied_torque,computed_torque,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9,action_10,action_11
0,0.0,front_right_arm_to_hand,11,1.4992175102233887,2.3987468011910096e-08,1.5,0.0,0.0,0.06259917467832565,0.06259917467832565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.02,front_right_arm_to_hand,11,1.4999308586120605,0.1427043080329895,1.5,0.0,0.0,0.06259919703006744,0.06259919703006744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.04,front_right_arm_to_hand,11,1.4999308586120605,-3.6520884805213427e-07,1.5,0.0,0.0,0.005531493108719587,0.005531493108719587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.06,front_right_arm_to_hand,11,1.4999308586120605,1.1395442925277166e-05,1.5,0.0,0.0,0.0055373660288751125,0.0055373660288751125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.08,front_right_arm_to_hand,11,1.4999308586120605,1.3124155884725042e-05,1.5,0.0,0.0,0.00553131802007556,0.00553131802007556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.1,front_right_arm_to_hand,11,1.4999308586120605,-3.599348019633908e-07,1.5,0.0,0.0,0.005531493574380875,0.005531493574380875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.12,front_right_arm_to_hand,11,1.4999308586120605,-3.5673309639605577e-07,1.5,0.0,0.0,0.005531495437026024,0.005531495437026024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.14,front_right_arm_to_hand,11,1.4999308586120605,-3.5822671407004236e-07,1.5,0.0,0.0,0.0055314903147518635,0.0055314903147518635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.16,front_right_arm_to_hand,11,1.4999308586120605,-3.569015802895592e-07,1.5,0.0,0.0,0.005531493108719587,0.005531493108719587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.18,front_right_arm_to_hand,11,1.4999308586120605,-3.5538511156119057e-07,1.5,0.0,0.0,0.0055314903147518635,0.0055314903147518635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.2,front_right_arm_to_hand,11,1.4999308586120605,-3.649727204901865e-07,1.5,0.0,0.0,0.0055314842611551285,0.0055314842611551285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.22,front_right_arm_to_hand,11,1.4999308586120605,-3.680963800434256e-07,1.5,0.0,0.0,0.005531494505703449,0.005531494505703449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.24,front_right_arm_to_hand,11,1.4999308586120605,1.0457915777806193e-06,1.5,0.0,0.0,0.005530806258320808,0.005530806258320808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.26,front_right_arm_to_hand,11,1.4999308586120605,-3.6417446835912415e-07,1.5,0.0,0.0,0.005531490780413151,0.005531490780413151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.28,front_right_arm_to_hand,11,1.4999308586120605,1.0335174920328427e-06,1.5,0.0,0.0,0.005530799273401499,0.005530799273401499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.3,front_right_arm_to_hand,11,1.4999308586120605,-3.585405465855729e-07,1.5,0.0,0.0,0.005531494505703449,0.005531494505703449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.32,front_right_arm_to_hand,11,1.4999308586120605,1.0436455113449483e-06,1.5,0.0,0.0,0.005530803930014372,0.005530803930014372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.34,front_right_arm_to_hand,11,1.4999308586120605,-3.6489910826276173e-07,1.5,0.0,0.0,0.005531494505703449,0.005531494505703449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.36,front_right_arm_to_hand,11,1.4999308586120605,-3.540172315297241e-07,1.5,0.0,0.0,0.005531474016606808,0.005531474016606808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.38,front_right_arm_to_hand,11,1.4999308586120605,-3.5740873727263534e-07,1.5,0.0,0.0,0.005531471222639084,0.005531471222639084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.4,front_right_arm_to_hand,11,1.4999308586120605,-3.5086355865132646e-07,1.5,0.0,0.0,0.0055314768105745316,0.0055314768105745316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.42,front_right_arm_to_hand,11,1.4999308586120605,-3.556265824045113e-07,1.5,0.0,0.0,0.005531465169042349,0.005531465169042349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.44,front_right_arm_to_hand,11,1.4999308586120605,-3.6497362998488825e-07,1.5,0.0,0.0,0.005531487986445427,0.005531487986445427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.46,front_right_arm_to_hand,11,1.4999308586120605,1.1095039553765673e-06,1.5,0.0,0.0,0.005531472619622946,0.005531472619622946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.48,front_right_arm_to_hand,11,1.4999308586120605,-3.6140642123427824e-07,1.5,0.0,0.0,0.005531490780413151,0.005531490780413151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.5,front_right_arm_to_hand,11,1.4999308586120605,-3.5868362147084554e-07,1.5,0.0,0.0,0.005531472619622946,0.005531472619622946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.52,front_right_arm_to_hand,11,1.4999308586120605,1.0428528867123532e-06,1.5,0.0,0.0,0.005530732683837414,0.005530732683837414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.54,front_right_arm_to_hand,11,1.4999308586120605,-3.6024363225806155e-07,1.5,0.0,0.0,0.0055314903147518635,0.0055314903147518635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.56,front_right_arm_to_hand,11,1.4999308586120605,-3.658344667201163e-07,1.5,0.0,0.0,0.005531465634703636,0.005531465634703636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.58,front_right_arm_to_hand,11,1.4999308586120605,-3.254437501709617e-07,1.5,0.0,0.0,0.005530806723982096,0.005530806723982096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.6,front_right_arm_to_hand,11,1.4999308586120605,-3.490222297841683e-07,1.5,0.0,0.0,0.005531493108719587,0.005531493108719587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.62,front_right_arm_to_hand,11,1.4999308586120605,-3.2824854656610114e-07,1.5,0.0,0.0,0.005530738737434149,0.005530738737434149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
