step,time,joint,joint_id,joint_pos,joint_vel,joint_pos_target,joint_vel_target,joint_effort_target,applied_torque,computed_torque,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9,action_10,action_11
0,0.0,front_right_shoulder_to_arm,7,-0.7873623967170715,0.15578338503837585,-0.7900000214576721,0.0,0.0,-0.21770045161247253,-0.21770045161247253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.02,front_right_shoulder_to_arm,7,-0.785297691822052,3.82351572625339e-09,-0.7900000214576721,0.0,0.0,-0.4332644045352936,-0.4332644045352936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.04,front_right_shoulder_to_arm,7,-0.7852258682250977,-0.0005743484362028539,-0.7900000214576721,0.0,0.0,-0.38300707936286926,-0.38300707936286926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.06,front_right_shoulder_to_arm,7,-0.785769522190094,-0.04349174723029137,-0.7900000214576721,0.0,0.0,-0.34097927808761597,-0.34097927808761597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.08,front_right_shoulder_to_arm,7,-0.786879301071167,-0.05015187710523605,-0.7900000214576721,0.0,0.0,-0.2339818924665451,-0.2339818924665451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.1,front_right_shoulder_to_arm,7,-0.7870574593544006,-0.0005597067065536976,-0.7900000214576721,0.0,0.0,-0.23646129667758942,-0.23646129667758942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.12,front_right_shoulder_to_arm,7,-0.7871246337890625,-0.0005643353215418756,-0.7900000214576721,0.0,0.0,-0.2310887575149536,-0.2310887575149536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.14,front_right_shoulder_to_arm,7,-0.78719162940979,-0.0005643549957312644,-0.7900000214576721,0.0,0.0,-0.2257291078567505,-0.2257291078567505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.16,front_right_shoulder_to_arm,7,-0.7872586250305176,-0.0005643632612191141,-0.7900000214576721,0.0,0.0,-0.22036944329738617,-0.22036944329738617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.18,front_right_shoulder_to_arm,7,-0.7873254418373108,-0.000564365996979177,-0.7900000214576721,0.0,0.0,-0.2150193303823471,-0.2150193303823471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.2,front_right_shoulder_to_arm,7,-0.7873921990394592,-0.0005643948679789901,-0.7900000214576721,0.0,0.0,-0.2096787393093109,-0.2096787393093109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.22,front_right_shoulder_to_arm,7,-0.7874589562416077,-0.0005644146003760397,-0.7900000214576721,0.0,0.0,-0.2043381631374359,-0.2043381631374359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.24,front_right_shoulder_to_arm,7,-0.7873963117599487,0.0016393389087170362,-0.7900000214576721,0.0,0.0,-0.20519135892391205,-0.20519135892391205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
