step,time,joint,joint_id,joint_pos,joint_vel,joint_pos_target,joint_vel_target,joint_effort_target,applied_torque,computed_torque,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9,action_10,action_11
0,0.0,base_to_front_right_shoulder,3,-0.0002044771536020562,-0.040894486010074615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,front_right_shoulder_to_arm,7,-0.7900002598762512,5.267093428074077e-10,-0.7900000214576721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,front_right_arm_to_hand,11,1.5,-4.0879993834508355e-10,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.005,base_to_front_right_shoulder,3,-0.0005845098639838398,-0.07600560039281845,0.0,0.0,0.0,0.08710537850856781,0.08710537850856781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.005,front_right_shoulder_to_arm,7,-0.7900004982948303,1.8103669674474077e-09,-0.7900000214576721,0.0,0.0,6.197829861775972e-06,6.197829861775972e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.005,front_right_arm_to_hand,11,1.5,-4.167095488116779e-11,1.5,0.0,0.0,8.175998766901671e-10,8.175998766901671e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.01,base_to_front_right_shoulder,3,-0.0011134714586660266,-0.10579138994216919,0.0,0.0,0.0,0.1672084629535675,0.1672084629535675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.01,front_right_shoulder_to_arm,7,-0.7900007367134094,-5.626379362411171e-10,-0.7900000214576721,0.0,0.0,1.2394145414873492e-05,1.2394145414873492e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.01,front_right_arm_to_hand,11,1.5,-3.92027604823042e-10,1.5,0.0,0.0,8.334190976233558e-11,8.334190976233558e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.015,base_to_front_right_shoulder,3,-0.0017669567605480552,-0.1306961178779602,0.0,0.0,0.0,0.2405330389738083,0.2405330389738083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
