step,time,joint,joint_id,joint_pos,joint_vel,joint_pos_target,joint_vel_target,joint_effort_target,applied_torque,computed_torque,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9,action_10,action_11
600,3.0,base_to_front_right_shoulder,3,-0.006533089093863964,-4.913881745949311e-09,0.0,0.0,0.0,0.5879766941070557,0.5879766941070557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.141592979431152
600,3.0,front_right_shoulder_to_arm,7,-0.7776126861572266,-4.550563517113915e-06,-0.7900000214576721,0.0,0.0,-0.34683698415756226,-0.34683698415756226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.141592979431152
600,3.0,front_right_arm_to_hand,11,0.0007137729553505778,7.847389404957994e-12,0.0,0.0,0.0,-0.07137764245271683,-0.07137764245271683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.141592979431152
601,3.005,base_to_front_right_shoulder,3,-0.006533103529363871,-5.004869407798651e-09,0.0,0.0,0.0,0.5879780054092407,0.5879780054092407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.141592979431152
601,3.005,front_right_shoulder_to_arm,7,-0.7776126861572266,-4.550368885247735e-06,-0.7900000214576721,0.0,0.0,-0.34683698415756226,-0.34683698415756226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.141592979431152
601,3.005,front_right_arm_to_hand,11,0.000713769462890923,4.744540316181656e-10,0.0,0.0,0.0,-0.07137729227542877,-0.07137729227542877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.141592979431152
602,3.0100000000000002,base_to_front_right_shoulder,3,-0.006533117964863777,-4.773166750737801e-09,0.0,0.0,0.0,0.5879793167114258,0.5879793167114258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.141592979431152
602,3.0100000000000002,front_right_shoulder_to_arm,7,-0.7776126861572266,-4.553272901830496e-06,-0.7900000214576721,0.0,0.0,-0.34683698415756226,-0.34683698415756226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.141592979431152
602,3.0100000000000002,front_right_arm_to_hand,11,0.0007137659704312682,2.2834096835566697e-09,0.0,0.0,0.0,-0.07137694954872131,-0.07137694954872131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.141592979431152
603,3.015,base_to_front_right_shoulder,3,-0.006533132400363684,-4.772257256036028e-09,0.0,0.0,0.0,0.5879806280136108,0.5879806280136108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.141592979431152
603,3.015,front_right_shoulder_to_arm,7,-0.7776126861572266,-4.550368430500384e-06,-0.7900000214576721,0.0,0.0,-0.34683695435523987,-0.34683695435523987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.141592979431152
603,3.015,front_right_arm_to_hand,11,0.0007137624779716134,9.40313382713498e-10,0.0,0.0,0.0,-0.07137660682201385,-0.07137660682201385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.141592979431152
604,3.02,base_to_front_right_shoulder,3,-0.006533131934702396,-7.439837190759135e-09,0.0,0.0,0.0,0.5879819393157959,0.5879819393157959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.141592979431152
604,3.02,front_right_shoulder_to_arm,7,-0.7763254642486572,0.2574288845062256,-0.7900000214576721,0.0,0.0,-0.34683698415756226,-0.34683698415756226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.141592979431152
604,3.02,front_right_arm_to_hand,11,-0.009513583034276962,-2.045469045639038,-0.7853982448577881,0.0,0.0,-14.5,-78.61119842529297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.141592979431152
605,3.025,base_to_front_right_shoulder,3,-0.006533131934702396,2.2199415639079234e-09,0.0,0.0,0.0,0.5879819393157959,0.5879819393157959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.141592979431152
605,3.025,front_right_shoulder_to_arm,7,-0.7739777565002441,0.46952328085899353,-0.7900000214576721,0.0,0.0,-0.8591310381889343,-0.8591310381889343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.141592979431152
605,3.025,front_right_arm_to_hand,11,-0.02992228977382183,-4.081741809844971,-0.7853982448577881,0.0,0.0,-14.5,-70.42932891845703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.141592979431152
606,3.0300000000000002,base_to_front_right_shoulder,3,-0.006533131934702396,4.257033836552182e-09,0.0,0.0,0.0,0.5879818797111511,0.5879818797111511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.141592979431152
606,3.0300000000000002,front_right_shoulder_to_arm,7,-0.7707734107971191,0.6408738493919373,-0.7900000214576721,0.0,0.0,-1.3172414302825928,-1.3172414302825928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.141592979431152
606,3.0300000000000002,front_right_arm_to_hand,11,-0.06047077104449272,-6.109696388244629,-0.7853982448577881,0.0,0.0,-14.5,-61.261497497558594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.141592979431152
607,3.035,base_to_front_right_shoulder,3,-0.006533131934702396,1.3174599189369474e-09,0.0,0.0,0.0,0.5879818797111511,0.5879818797111511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.141592979431152
607,3.035,front_right_shoulder_to_arm,7,-0.7668948173522949,0.7757405042648315,-0.7900000214576721,0.0,0.0,-1.7239617109298706,-1.7239617109298706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.141592979431152
607,3.035,front_right_arm_to_hand,11,-0.10112152248620987,-8.130148887634277,-0.7853982448577881,0.0,0.0,-14.5,-51.10881423950195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.141592979431152
608,3.04,base_to_front_right_shoulder,3,-0.006533132400363684,4.169891099081724e-09,0.0,0.0,0.0,0.5879818797111511,0.5879818797111511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.141592979431152
608,3.04,front_right_shoulder_to_arm,7,-0.7626769542694092,0.843582034111023,-0.7900000214576721,0.0,0.0,-2.0820655822753906,-2.0820655822753906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.141592979431152
608,3.04,front_right_arm_to_hand,11,-0.15047089755535126,-9.869877815246582,-0.7853982448577881,0.0,0.0,-12.56342601776123,-39.97215270996094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.141592979431152
609,3.045,base_to_front_right_shoulder,3,-0.006533132866024971,1.330022314505186e-09,0.0,0.0,0.0,0.5879819393157959,0.5879819393157959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.141592979431152
609,3.045,front_right_shoulder_to_arm,7,-0.758385181427002,0.8583605885505676,-0.7900000214576721,0.0,0.0,-2.3256726264953613,-2.3256726264953613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.141592979431152
609,3.045,front_right_arm_to_hand,11,-0.20729367434978485,-11.364553451538086,-0.7853982448577881,0.0,0.0,-10.865118980407715,-28.948162078857422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.141592979431152
610,3.0500000000000003,base_to_front_right_shoulder,3,-0.006533133797347546,3.1006379686004948e-09,0.0,0.0,0.0,0.5879819393157959,0.5879819393157959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.141592979431152
610,3.0500000000000003,front_right_shoulder_to_arm,7,-0.754223108291626,0.8324029445648193,-0.7900000214576721,0.0,0.0,-2.4731826782226562,-2.4731826782226562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.141592979431152
610,3.0500000000000003,front_right_arm_to_hand,11,-0.2705419957637787,-12.649662017822266,-0.7853982448577881,0.0,0.0,-9.406030654907227,-18.03451919555664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.141592979431152
611,3.055,base_to_front_right_shoulder,3,-0.00653313472867012,-2.898900675063487e-09,0.0,0.0,0.0,0.5879820585250854,0.5879820585250854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.141592979431152
611,3.055,front_right_shoulder_to_arm,7,-0.7504265308380127,0.759307861328125,-0.7900000214576721,0.0,0.0,-2.541698932647705,-2.541698932647705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.141592979431152
611,3.055,front_right_arm_to_hand,11,-0.3386550843715668,-13.622608184814453,-0.7853982448577881,0.0,0.0,-7.211803436279297,-7.211803436279297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.141592979431152
612,3.06,base_to_front_right_shoulder,3,-0.006592210382223129,-0.011815269477665424,0.0,0.0,0.0,0.5879821181297302,0.5879821181297302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.141592979431152
612,3.06,front_right_shoulder_to_arm,7,-0.7478964328765869,0.5060259103775024,-0.7900000214576721,0.0,0.0,-2.512777328491211,-2.512777328491211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.141592979431152
612,3.06,front_right_arm_to_hand,11,-0.404409259557724,-13.150827407836914,-0.7853982448577881,0.0,0.0,3.0048141479492188,3.0048141479492188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.141592979431152
613,3.065,base_to_front_right_shoulder,3,-0.006670774891972542,-0.015713024884462357,0.0,0.0,0.0,0.6582828760147095,0.6582828760147095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.141592979431152
613,3.065,front_right_shoulder_to_arm,7,-0.7468905448913574,0.20116034150123596,-0.7900000214576721,0.0,0.0,-2.115048408508301,-2.115048408508301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.141592979431152
613,3.065,front_right_arm_to_hand,11,-0.46435877680778503,-11.98990535736084,-0.7853982448577881,0.0,0.0,7.928997039794922,7.928997039794922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.141592979431152
614,3.0700000000000003,base_to_front_right_shoulder,3,-0.006745390594005585,-0.014923249371349812,0.0,0.0,0.0,0.6867914199829102,0.6867914199829102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.141592979431152
614,3.0700000000000003,front_right_shoulder_to_arm,7,-0.7473361492156982,-0.08910136669874191,-0.7900000214576721,0.0,0.0,-1.579211950302124,-1.579211950302124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.141592979431152
614,3.0700000000000003,front_right_arm_to_hand,11,-0.5171870589256287,-10.56566047668457,-0.7853982448577881,0.0,0.0,9.860721588134766,9.860721588134766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.141592979431152
615,3.075,base_to_front_right_shoulder,3,-0.006805142387747765,-0.011950481683015823,0.0,0.0,0.0,0.6891630291938782,0.6891630291938782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.141592979431152
615,3.075,front_right_shoulder_to_arm,7,-0.7490074634552002,-0.3342554271221161,-0.7900000214576721,0.0,0.0,-1.029750943183899,-1.029750943183899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.141592979431152
615,3.075,front_right_arm_to_hand,11,-0.5627338290214539,-9.109346389770508,-0.7853982448577881,0.0,0.0,10.158693313598633,10.158693313598633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.141592979431152
616,3.08,base_to_front_right_shoulder,3,-0.006805143319070339,4.535081643552985e-09,0.0,0.0,0.0,0.6781904697418213,0.6781904697418213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.141592979431152
616,3.08,front_right_shoulder_to_arm,7,-0.7516252994537354,-0.5235720872879028,-0.7900000214576721,0.0,0.0,-0.5294190645217896,-0.5294190645217896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.141592979431152
616,3.08,front_right_arm_to_hand,11,-0.6014279723167419,-7.738844871520996,-0.7853982448577881,0.0,0.0,9.61627197265625,9.61627197265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.141592979431152
617,3.085,base_to_front_right_shoulder,3,-0.0068051437847316265,-5.643570943902887e-09,0.0,0.0,0.0,0.6124628782272339,0.6124628782272339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.141592979431152
617,3.085,front_right_shoulder_to_arm,7,-0.7549142837524414,-0.6578056216239929,-0.7900000214576721,0.0,0.0,-0.10588383674621582,-0.10588383674621582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.141592979431152
617,3.085,front_right_arm_to_hand,11,-0.6339632868766785,-6.507052898406982,-0.7853982448577881,0.0,0.0,8.688928604125977,8.688928604125977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.141592979431152
618,3.09,base_to_front_right_shoulder,3,-0.0068051437847316265,4.664642005991482e-09,0.0,0.0,0.0,0.6124629974365234,0.6124629974365234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.141592979431152
618,3.09,front_right_shoulder_to_arm,7,-0.7586240768432617,-0.7419688105583191,-0.7900000214576721,0.0,0.0,0.23453974723815918,0.23453974723815918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.141592979431152
618,3.09,front_right_arm_to_hand,11,-0.6611177325248718,-5.430874824523926,-0.7853982448577881,0.0,0.0,7.631189346313477,7.631189346313477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.141592979431152
619,3.095,base_to_front_right_shoulder,3,-0.0068051437847316265,2.964126721849425e-09,0.0,0.0,0.0,0.6124629378318787,0.6124629378318787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.141592979431152
619,3.095,front_right_shoulder_to_arm,7,-0.7625422477722168,-0.7836222052574158,-0.7900000214576721,0.0,0.0,0.49411582946777344,0.49411582946777344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.141592979431152
619,3.095,front_right_arm_to_hand,11,-0.6836571097373962,-4.507889747619629,-0.7853982448577881,0.0,0.0,6.580011367797852,6.580011367797852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.141592979431152
620,3.1,base_to_front_right_shoulder,3,-0.0068051437847316265,1.6410339753747394e-09,0.0,0.0,0.0,0.6124629378318787,0.6124629378318787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.141592979431152
620,3.1,front_right_shoulder_to_arm,7,-0.7664961814880371,-0.7907853722572327,-0.7900000214576721,0.0,0.0,0.6808834075927734,0.6808834075927734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.141592979431152
620,3.1,front_right_arm_to_hand,11,-0.7022880911827087,-3.72622013092041,-0.7853982448577881,0.0,0.0,5.603501319885254,5.603501319885254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.141592979431152
621,3.105,base_to_front_right_shoulder,3,-0.0068051437847316265,5.294651828080532e-09,0.0,0.0,0.0,0.6124629378318787,0.6124629378318787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.141592979431152
621,3.105,front_right_shoulder_to_arm,7,-0.7703514099121094,-0.7710605263710022,-0.7900000214576721,0.0,0.0,0.8048454523086548,0.8048454523086548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.141592979431152
621,3.105,front_right_arm_to_hand,11,-0.7176384329795837,-3.0700738430023193,-0.7853982448577881,0.0,0.0,4.730755805969238,4.730755805969238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.141592979431152
622,3.11,base_to_front_right_shoulder,3,-0.006805143319070339,-2.7241782163400785e-09,0.0,0.0,0.0,0.6124629378318787,0.6124629378318787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.141592979431152
622,3.11,front_right_shoulder_to_arm,7,-0.7740075588226318,-0.7312256097793579,-0.7900000214576721,0.0,0.0,0.8763008117675781,0.8763008117675781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.141592979431152
622,3.11,front_right_arm_to_hand,11,-0.7302524447441101,-2.5227949619293213,-0.7853982448577881,0.0,0.0,3.9692773818969727,3.9692773818969727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.141592979431152
623,3.115,base_to_front_right_shoulder,3,-0.006805142853409052,4.240717998982291e-09,0.0,0.0,0.0,0.6124628782272339,0.6124628782272339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.141592979431152
623,3.115,front_right_shoulder_to_arm,7,-0.777393102645874,-0.6770893335342407,-0.7900000214576721,0.0,0.0,0.9049783945083618,0.9049783945083618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.141592979431152
623,3.115,front_right_arm_to_hand,11,-0.7405948042869568,-2.068453311920166,-0.7853982448577881,0.0,0.0,3.3152027130126953,3.3152027130126953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.141592979431152
624,3.12,base_to_front_right_shoulder,3,-0.006805142387747765,3.718611196745769e-09,0.0,0.0,0.0,0.6124628782272339,0.6124628782272339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.141592979431152
624,3.12,front_right_shoulder_to_arm,7,-0.7804605960845947,-0.6134903430938721,-0.7900000214576721,0.0,0.0,0.8996216058731079,0.8996216058731079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.141592979431152
624,3.12,front_right_arm_to_hand,11,-0.7490577101707458,-1.692590594291687,-0.7853982448577881,0.0,0.0,2.7592430114746094,2.7592430114746094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.141592979431152
625,3.125,base_to_front_right_shoulder,3,-0.006805141922086477,3.315275165505227e-09,0.0,0.0,0.0,0.6124628186225891,0.6124628186225891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.141592979431152
625,3.125,front_right_shoulder_to_arm,7,-0.7831823825836182,-0.544366717338562,-0.7900000214576721,0.0,0.0,0.8678532838821411,0.8678532838821411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.141592979431152
625,3.125,front_right_arm_to_hand,11,-0.7559701800346375,-1.3824927806854248,-0.7853982448577881,0.0,0.0,2.290013551712036,2.290013551712036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.141592979431152
626,3.13,base_to_front_right_shoulder,3,-0.00680514145642519,-3.976083462475799e-09,0.0,0.0,0.0,0.6124627590179443,0.6124627590179443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.141592979431152
626,3.13,front_right_shoulder_to_arm,7,-0.7855467796325684,-0.4728561341762543,-0.7900000214576721,0.0,0.0,0.8161845207214355,0.8161845207214355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.141592979431152
626,3.13,front_right_arm_to_hand,11,-0.7616061568260193,-1.1271992921829224,-0.7853982448577881,0.0,0.0,1.8959181308746338,1.8959181308746338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.141592979431152
