step,gyro_centro_y,gyro_adelante_y,accel_centro_z,accel_adelante_z
0,0.0,0.0,9.81,9.81
1,0.0,0.0,9.81,9.81
2,0.0,0.0,9.81,9.81
3,0.0,0.0,9.81,9.81
4,0.0,0.0,9.81,9.81
5,0.0,0.0,9.81,9.81
6,0.0,0.0,9.81,9.81
7,0.0,0.0,9.81,9.81
8,0.0,0.0,9.81,9.81
9,0.0,0.0,9.81,9.81
10,0.0,0.0,9.81,9.81
11,0.0,0.0,9.81,9.81
12,0.0,0.0,9.81,9.81
13,0.0,0.0,9.81,9.81
14,0.0,0.0,9.81,9.81
15,0.0,0.0,9.81,9.81
16,0.0,0.0,9.81,9.81
17,0.0,0.0,9.81,9.81
18,0.0,0.0,9.81,9.81
19,0.0,0.0,9.81,9.81
20,0.0,0.0,9.81,9.81
21,0.0,0.0,9.81,9.81
22,0.0,0.0,9.81,9.81
23,0.0,0.0,9.81,9.81
24,0.0,0.0,9.81,9.81
25,0.0,0.0,9.81,9.81
26,0.0,0.0,9.81,9.81
27,0.0,0.0,9.81,9.81
28,0.0,0.0,9.81,9.81
29,0.0,0.0,9.81,9.81
30,0.0,0.0,9.81,9.81
31,0.0,0.0,9.81,9.81
32,0.0,0.0,9.81,9.81
33,0.0,0.0,9.81,9.81
34,0.0,0.0,9.81,9.81
35,0.0,0.0,9.81,9.81
36,0.0,0.0,9.81,9.81
37,0.0,0.0,9.81,9.81
38,0.0,0.0,9.81,9.81
39,0.0,0.0,9.81,9.81
40,0.0,0.0,9.81,9.81
41,0.0,0.0,9.81,9.81
42,0.0,0.0,9.81,9.81
43,0.0,0.0,9.81,9.81
44,0.0,0.0,9.81,9.81
45,0.0,0.0,9.81,9.81
46,0.0,0.0,9.81,9.81
47,0.0,0.0,9.81,9.81
48,0.0,0.0,9.81,9.81
49,0.0,0.0,9.81,9.81
50,0.0,0.0,9.81,9.81
51,0.0,0.0,9.81,9.81
52,0.0,0.0,9.81,9.81
53,0.0,0.0,9.81,9.81
54,0.0,0.0,9.81,9.81
55,0.0,0.0,9.81,9.81
56,0.0,0.0,9.81,9.81
57,0.0,0.0,9.81,9.81
58,0.0,0.0,9.81,9.81
59,0.0,0.0,9.81,9.81
60,0.0,0.0,9.81,9.81
61,0.0,0.0,9.81,9.81
62,0.0,0.0,9.81,9.81
63,0.0,0.0,9.81,9.81
64,0.0,0.0,9.81,9.81
65,0.0,0.0,9.81,9.81
66,0.0,0.0,9.81,9.81
67,0.0,0.0,9.81,9.81
68,0.0,0.0,9.81,9.81
69,0.0,0.0,9.81,9.81
70,0.0,0.0,9.81,9.81
71,0.0,0.0,9.81,9.81
72,0.0,0.0,9.81,9.81
73,0.0,0.0,9.81,9.81
74,0.0,0.0,9.81,9.81
75,0.0,0.0,9.81,9.81
76,0.0,0.0,9.81,9.81
77,0.0,0.0,9.81,9.81
